# Name         	     ra	    dec	   dist	disterr	   vlos	vloserr	  sigma	   rmax	   pmra	  pmdec	    plx	 pmra_e	pmdec_e	 pmcorr	  plx_e
Gran_1         	269.653	-32.020	   8.80	    nan	    nan	    nan	    0.1	    2.0	-8.1628	-8.0453	 0.0761	 0.0377	 0.0364	 0.0019	 0.0255
Pfleiderer_2   	269.664	 -5.070	  16.00	    nan	    nan	    nan	    0.1	    3.0	-2.7837	-4.1576	 0.0936	 0.0340	 0.0313	 0.0889	 0.0216
NGC_6496       	269.765	-44.266	   9.64	   0.15	-134.72	   0.26	    2.3	    5.0	-3.0600	-9.2711	 0.1195	 0.0267	 0.0261	 0.0077	 0.0125
Terzan_9       	270.412	-26.840	   5.77	   0.34	  68.49	   0.56	    5.0	    3.0	-2.1211	-7.7633	 0.1555	 0.0517	 0.0485	 0.0330	 0.0169
Djorg_2_ESO456 	270.455	-27.826	   8.76	   0.18	-149.75	   1.10	    4.4	    2.0	 0.6619	-2.9828	 0.1221	 0.0415	 0.0371	 0.0031	 0.0180
NGC_6517       	270.461	 -8.959	   9.23	   0.56	 -35.06	   1.65	   12.6	    4.0	-1.5508	-4.4698	 0.1150	 0.0288	 0.0282	 0.0305	 0.0123
Terzan_10      	270.742	-26.073	  10.21	   0.40	 211.37	   2.27	    6.0	    3.0	-6.8266	-2.5885	 0.1455	 0.0594	 0.0496	 0.0135	 0.0445
NGC_6522       	270.892	-30.034	   7.29	   0.21	 -15.23	   0.49	    7.9	    3.0	 2.5655	-6.4384	 0.1246	 0.0390	 0.0358	-0.0208	 0.0128
NGC_6535       	270.960	 -0.298	   6.36	   0.12	-214.85	   0.46	    1.7	    4.0	-4.2140	-2.9387	 0.1625	 0.0268	 0.0265	 0.0105	 0.0122
NGC_6528       	271.207	-30.056	   7.83	   0.24	 211.86	   0.43	    6.3	    2.0	-2.1571	-5.6490	 0.1246	 0.0432	 0.0392	-0.0319	 0.0182
NGC_6539       	271.207	 -7.586	   8.16	   0.39	  35.19	   0.50	    6.0	    6.0	-6.8958	-3.5374	 0.1308	 0.0264	 0.0260	 0.0067	 0.0113
NGC_6540_Djorg 	271.536	-27.765	   5.91	   0.27	 -16.50	   0.78	    3.5	    2.0	-3.7019	-2.7911	 0.1800	 0.0320	 0.0318	-0.0231	 0.0166
NGC_6544       	271.836	-24.997	   2.58	   0.06	 -38.46	   0.67	    6.6	   10.0	-2.3041	-18.604	 0.3986	 0.0308	 0.0305	 0.0068	 0.0109
NGC_6541       	272.010	-43.715	   7.61	   0.10	-163.97	   0.46	    8.7	   12.0	 0.2866	-8.8472	 0.1455	 0.0249	 0.0245	 0.0046	 0.0109
ESO280_SC06    	272.275	-46.423	  20.95	   0.65	  93.20	   0.34	    1.3	    2.0	-0.6878	-2.7775	 0.0411	 0.0392	 0.0332	 0.0916	 0.0257
NGC_6553       	272.323	-25.909	   5.33	   0.13	  -0.27	   0.34	    8.3	    6.0	 0.3445	-0.4538	 0.1944	 0.0301	 0.0295	 0.0110	 0.0114
NGC_6558       	272.573	-31.764	   7.47	   0.29	-195.12	   0.73	    3.5	    3.0	-1.7199	-4.1438	 0.1492	 0.0361	 0.0337	 0.0406	 0.0181
IC_1276_Pal_7  	272.684	 -7.208	   4.55	   0.25	 155.06	   0.69	    3.6	    8.0	-2.5531	-4.5676	 0.2099	 0.0258	 0.0257	 0.0073	 0.0113
Terzan_12      	273.066	-22.742	   5.17	   0.38	  95.61	   1.21	    3.0	    3.0	-6.2223	-3.0524	 0.1870	 0.0370	 0.0336	 0.1281	 0.0200
NGC_6569       	273.412	-31.827	  10.53	   0.26	 -49.83	   0.50	    7.1	    4.0	-4.1247	-7.3543	 0.1118	 0.0283	 0.0279	 0.0059	 0.0119
BH_261_AL_3    	273.527	-28.635	   6.12	   0.26	 -45.00	  15.00	    4.1	    2.0	 3.5656	-3.5897	 0.1929	 0.0434	 0.0375	 0.0960	 0.0225
NGC_6584       	274.657	-52.216	  13.61	   0.17	 260.64	   1.58	    5.0	    6.0	-0.0898	-7.2021	 0.0773	 0.0258	 0.0254	-0.0050	 0.0114
Mercer_5       	275.832	-13.669	   5.50	   0.50	 185.50	   3.75	    0.1	    1.0	-3.9647	-7.2199	 0.2233	 0.1140	 0.1106	 0.3086	 0.0930
NGC_6624       	275.919	-30.361	   8.02	   0.11	  54.79	   0.40	    6.9	    4.0	 0.1245	-6.9357	 0.1304	 0.0292	 0.0285	-0.0012	 0.0120
NGC_6626_M_28  	276.137	-24.870	   5.37	   0.10	  11.11	   0.60	   11.1	    8.0	-0.2780	-8.9222	 0.2004	 0.0283	 0.0280	-0.0095	 0.0109
NGC_6638       	277.734	-25.497	   9.78	   0.34	   8.63	   2.00	    7.7	    2.0	-2.5185	-4.0756	 0.1148	 0.0287	 0.0287	 0.0126	 0.0122
NGC_6637_M_69  	277.846	-32.348	   8.90	   0.10	  47.48	   1.00	    6.4	    5.0	-5.0339	-5.8322	 0.1160	 0.0276	 0.0275	 0.0378	 0.0117
NGC_6642       	277.975	-23.475	   8.05	   0.20	 -60.61	   1.35	    4.4	    2.0	-0.1730	-3.8922	 0.1264	 0.0303	 0.0300	 0.0029	 0.0128
NGC_6652       	278.940	-32.991	   9.46	   0.14	 -95.37	   0.86	    6.0	    3.0	-5.4844	-4.2739	 0.1192	 0.0274	 0.0268	 0.0096	 0.0123
NGC_6656_M_22  	279.100	-23.905	   3.30	   0.04	-148.72	   0.78	    8.6	   20.0	 9.8506	-5.6175	 0.3064	 0.0234	 0.0232	-0.0029	 0.0101
Pal_8          	280.375	-19.826	  11.32	   0.63	 -31.54	   0.21	    2.7	    4.0	-1.9871	-5.6935	 0.1151	 0.0270	 0.0267	 0.0097	 0.0124
NGC_6681_M_70  	280.803	-32.292	   9.36	   0.11	 216.62	   0.84	    7.0	    6.0	 1.4307	-4.7438	 0.1212	 0.0267	 0.0261	 0.0055	 0.0116
Ryu_879_RLGC2  	281.367	 -5.192	  15.80	    nan	    nan	    nan	    0.1	    0.8	-2.3957	-1.7940	 0.0840	 0.0771	 0.0692	 0.3894	 0.0745
NGC_6712       	283.268	 -8.706	   7.38	   0.24	-107.45	   0.29	    4.8	    5.0	 3.3629	-4.4362	 0.1464	 0.0270	 0.0266	 0.0165	 0.0112
NGC_6715_M_54  	283.764	-30.480	  26.28	   0.33	 143.13	   0.43	   16.9	    6.0	-2.6792	-1.3865	 0.0532	 0.0253	 0.0254	 0.0025	 0.0111
NGC_6717_Pal9  	283.775	-22.701	   7.52	   0.13	  30.25	   0.90	    2.3	    3.0	-3.1253	-5.0082	 0.1174	 0.0273	 0.0271	 0.0314	 0.0120
NGC_6723       	284.888	-36.632	   8.27	   0.10	 -94.39	   0.26	    5.5	   10.0	 1.0285	-2.4185	 0.1321	 0.0255	 0.0254	 0.0045	 0.0111
NGC_6749       	286.314	  1.901	   7.59	   0.21	 -58.44	   0.96	    3.4	    5.0	-2.8293	-6.0057	 0.1380	 0.0276	 0.0274	 0.0073	 0.0116
NGC_6752       	287.717	-59.985	   4.12	   0.04	 -26.01	   0.12	    8.3	   25.0	-3.1611	-4.0272	 0.2544	 0.0225	 0.0224	-0.0129	 0.0098
NGC_6760       	287.800	  1.030	   8.41	   0.43	  -2.37	   1.27	    7.3	    6.0	-1.1070	-3.6150	 0.1323	 0.0260	 0.0262	 0.0153	 0.0112
NGC_6779_M_56  	289.148	 30.183	  10.43	   0.14	-136.97	   0.45	    5.0	    8.0	-2.0179	 1.6176	 0.0910	 0.0251	 0.0252	 0.0094	 0.0107
Terzan_7       	289.433	-34.658	  24.28	   0.49	 159.85	   0.14	    1.3	    3.0	-3.0018	-1.6510	 0.0495	 0.0286	 0.0287	 0.0488	 0.0152
Pal_10         	289.509	 18.572	   8.94	   1.18	 -31.70	   0.23	    3.7	    4.0	-4.3225	-7.1728	 0.1117	 0.0285	 0.0286	 0.0151	 0.0140
Arp_2          	292.184	-30.356	  28.73	   0.34	 122.64	   0.29	    1.3	    3.0	-2.3307	-1.4753	 0.0265	 0.0313	 0.0294	 0.0528	 0.0210
NGC_6809_M_55  	294.999	-30.965	   5.35	   0.05	 174.70	   0.17	    4.9	   15.0	-3.4316	-9.3110	 0.2095	 0.0237	 0.0237	 0.0093	 0.0103
Terzan_8       	295.435	-33.999	  27.54	   0.42	 148.43	   0.17	    1.7	    5.0	-2.4958	-1.5807	 0.0499	 0.0270	 0.0260	-0.0216	 0.0130
Pal_11         	296.310	 -8.007	  14.02	   0.51	 -67.64	   0.76	    2.4	    4.0	-1.7661	-4.9709	 0.1089	 0.0300	 0.0284	 0.0420	 0.0165
NGC_6838_M_71  	298.444	 18.779	   4.00	   0.05	 -22.72	   0.20	    2.9	   10.0	-3.4161	-2.6559	 0.2513	 0.0245	 0.0244	 0.0020	 0.0105
NGC_6864_M_75  	301.520	-21.921	  20.52	   0.45	-189.08	   1.12	   11.3	    6.0	-0.5975	-2.8099	 0.0689	 0.0262	 0.0258	 0.0155	 0.0121
NGC_6934       	308.547	  7.404	  15.72	   0.17	-406.22	   0.73	    5.5	    6.0	-2.6545	-4.6887	 0.0778	 0.0260	 0.0259	 0.0074	 0.0118
NGC_6981_M_72  	313.365	-12.537	  16.66	   0.18	-331.39	   1.47	    3.2	    6.0	-1.2736	-3.3608	 0.0841	 0.0262	 0.0257	 0.0049	 0.0118
NGC_7006       	315.372	 16.187	  39.32	   0.56	-383.47	   0.73	    3.6	    5.0	-0.1275	-0.6329	 0.0349	 0.0274	 0.0270	 0.0017	 0.0149
Laevens_3      	316.729	 14.984	  61.77	   1.65	 -70.30	   0.82	    1.0	    2.0	 0.1722	-0.6658	 0.1296	 0.1013	 0.0797	-0.0186	 0.0880
