# Name         	     ra	    dec	   dist	disterr	   vlos	vloserr	  sigma	   rmax	   pmra	  pmdec	    plx	 pmra_e	pmdec_e	 pmcorr	  plx_e
NGC_6934       	308.547	  7.404	  15.72	   0.17	-406.22	   0.73	    5.5	    6.0	 -2.651	 -4.690	  0.081	  0.026	  0.026	  0.006	  0.011
NGC_6981_M_72  	313.365	-12.537	  16.66	   0.18	-331.39	   1.47	    3.2	    6.0	 -1.269	 -3.358	  0.081	  0.026	  0.026	  0.002	  0.011
NGC_7006       	315.372	 16.187	  39.32	   0.56	-383.47	   0.73	    3.6	    5.0	 -0.124	 -0.638	  0.032	  0.027	  0.027	  0.002	  0.014
Laevens_3      	316.729	 14.984	  61.77	   1.65	 -70.30	   0.82	    1.0	    2.0	  0.157	 -0.684	  0.128	  0.085	  0.069	  0.060	  0.091
Segue_3        	320.379	 19.117	  29.50	   1.10	-167.00	   1.50	    1.2	    2.0	 -1.008	 -1.644	  0.055	  0.107	  0.069	 -0.248	  0.107
NGC_7078_M_15  	322.493	 12.167	  10.71	   0.10	-106.84	   0.30	   13.6	   15.0	 -0.661	 -3.808	  0.099	  0.024	  0.024	  0.003	  0.010
NGC_7089_M_2   	323.363	 -0.823	  11.69	   0.11	  -3.78	   0.30	   10.7	   15.0	  3.440	 -2.165	  0.083	  0.025	  0.025	  0.005	  0.011
NGC_7099_M_30  	325.092	-23.180	   8.46	   0.09	-185.19	   0.17	    5.6	   12.0	 -0.741	 -7.295	  0.132	  0.025	  0.025	  0.008	  0.011
Pal_12         	326.662	-21.253	  18.49	   0.30	  27.91	   0.28	    0.7	    4.0	 -3.230	 -3.330	  0.068	  0.027	  0.027	  0.044	  0.014
Pal_13         	346.685	 12.772	  23.48	   0.40	  25.30	   0.22	    0.5	    3.0	  1.749	  0.079	 -0.036	  0.043	  0.038	  0.083	  0.032
NGC_7492       	347.111	-15.611	  24.39	   0.57	-176.70	   0.27	    1.6	    5.0	  0.766	 -2.321	  0.062	  0.027	  0.026	  0.015	  0.013
